No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
37224,SDSS J031211.02-074927.2,48.04596,-7.82422,*,,,,22.4g,0.0,0,0,5,1,0,4,0
37225,WISEA J031211.03-072109.9,48.04598,-7.35267,G,,,,23.1g,0.0,0,0,27,2,0,4,0
37226,WISEA J031211.03-071243.4,48.046,-7.21207,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37227,WISEA J031211.04-080511.9,48.046,-8.08666,G,,,,23.9g,0.0,0,0,27,2,0,4,0
37228,WISEA J031211.04-072612.7,48.046,-7.43688,G,,,,21.4g,0.0,3,0,27,2,0,4,0
37229,SDSS J031211.04-073603.1,48.04601,-7.60088,G,,,,23.0g,0.0,0,0,15,1,0,4,0
37230,WISEA J031211.06-075324.2,48.04611,-7.89006,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37231,WISEA J031211.07-080713.9,48.04613,-8.12055,*,,,,21.2g,0.0,0,0,23,3,0,4,0
37232,WISEA J031211.07-081815.0,48.04613,-8.30419,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37233,WISEA J031211.08-073349.0,48.04617,-7.56363,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37234,WISEA J031211.08-072657.2,48.0462,-7.44923,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37235,WISEA J031211.09-072509.4,48.04623,-7.4193,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37236,WISEA J031211.09-072446.5,48.04623,-7.41291,G,,,,23.1g,0.0,0,0,27,2,0,4,0
37237,WISEA J031211.09-081027.7,48.04624,-8.17436,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37238,WISEA J031211.10-074542.4,48.04626,-7.7618,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37239,WISEA J031211.11-074039.8,48.0463,-7.67775,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37240,WISEA J031211.12-082206.8,48.04634,-8.36858,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37241,WISEA J031211.14-081140.6,48.04643,-8.19463,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37242,WISEA J031211.20-071928.5,48.04646,-7.32456,G,108072.0,0.36049,SLS ,21.5g,0.0,2,0,31,3,1,4,0
37243,SDSS J031211.15-075905.4,48.04647,-7.98484,*,,,,23.8g,0.0,0,0,5,1,0,4,0
37244,SDSS J031211.16-083012.4,48.04654,-8.50345,G,,,,21.9g,0.0,0,0,15,1,0,4,0
37245,WISEA J031211.17-073558.9,48.04658,-7.5997,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37246,WISEA J031211.18-075850.7,48.04659,-7.98076,G,,,,19.4g,0.0,0,0,38,5,0,4,0
37247,WISEA J031211.13-074129.8,48.04662,-7.69179,G,,,,22.1g,0.0,0,0,27,2,0,4,0
37248,SDSS J031211.20-071853.7,48.04667,-7.31493,*,,,,23.9g,0.0,0,0,5,1,0,4,0
37249,WISEA J031211.17-071752.8,48.0467,-7.29809,*,,,,23.0g,0.0,0,0,17,2,0,4,0
37250,WISEA J031211.21-075244.0,48.04673,-7.87889,G,278231.0,0.92808,SLS ,20.9r,0.0,6,0,25,4,3,4,0
37251,WISEA J031211.19-081327.4,48.04674,-8.22381,G,,,,22.6g,0.0,0,0,31,3,0,4,0
37252,WISEA J031211.24-081757.5,48.04687,-8.29932,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37253,WISEA J031211.26-075647.0,48.04694,-7.9464,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37254,WISEA J031211.26-074803.4,48.04695,-7.80095,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37255,WISEA J031211.27-075003.3,48.04697,-7.83427,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37256,SDSS J031211.27-080431.2,48.04698,-8.07536,G,,,,23.3g,0.0,0,0,15,1,0,4,0
37257,WISEA J031211.29-082256.6,48.04704,-8.3824,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37258,WISEA J031211.33-082843.2,48.04724,-8.47867,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37259,WISEA J031211.34-081338.5,48.04725,-8.22736,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37260,SDSS J031211.34-075454.0,48.04726,-7.91503,G,,,,22.7g,0.0,0,0,15,1,0,4,0
37261,SDSS J031211.34-080150.7,48.04729,-8.03076,G,,,,23.0g,0.0,0,0,15,1,0,4,0
37262,WISEA J031211.35-071220.8,48.04731,-7.2058,G,,,,20.7g,0.0,0,0,27,2,0,4,0
37263,SDSS J031211.36-080943.5,48.04737,-8.1621,*,,,,22.6g,0.0,0,0,5,1,0,4,0
37264,SDSS J031211.40-074405.4,48.0475,-7.73484,G,,,,22.8g,0.0,0,0,15,1,0,3,0
37265,WISEA J031211.40-081313.3,48.04752,-8.22037,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37266,WISEA J031211.37-075731.8,48.04754,-7.95902,G,,,,21.9g,0.0,0,0,31,3,0,4,0
37267,WISEA J031211.43-072630.1,48.04756,-7.44146,G,,,,21.9g,0.0,0,0,27,2,0,4,0
37268,WISEA J031211.41-075035.5,48.04758,-7.84322,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37269,WISEA J031211.41-075953.8,48.04758,-7.99829,IrS,,,,     ,0.0,0,0,12,1,0,0,0
